id,name,condition,flavorText,description,rollTable
45,It is Meant to Be,,"You collapse to the floor, visions of future events pouring through your head.","Choose one of these 2 options:
- You can look at the top 3 tiles or cards of any one stack. If you do, rearrange those 3 tiles or cards in any order and put them back on top. Do not tell anyone the results.
- You can choose instead to roll 4 dice and write down the result. For one future die roll of your choice that you attempt, you can use that number instead of rolling. If that number is higher than the maximum possible result, use the maximum possible result instead.",
46,Rotten,,"The smell in this room, it’s horrible. Smells like death, like blood. A slaughterhouse smell.","You must attempt a Sanity roll:
<rollTable>","5+  Troubling odors, nothing more. Gain 1 Sanity.
2-4  Lose 1 Might.
1  Lose 1 Might and 1 Speed.
0  You double over with nausea. Lose 1 Might, 1 Speed, 1 Knowledge, and 1 Sanity."
47,The Beckoning,,"Outside.
You must get outside.
Fly to freedom!","Each explorer in the Gardens, Graveyard, Tower, on the Balcony, or in a room with an outside-facing window must attempt a Sanity roll:
<rollTable>
Each result affects only the explorer making that roll.","3+  You back away from the ledge.
0-2  You jump to the Patio. (If it isn’t in the house, search the room stack for it, put it in the house, and shuffle that stack.) Put your explorer there and take 1 die of physical damage."
48,Hideous Shriek,,"It starts like a whisper, but ends in a soul-rending shriek.","Each explorer must attempt a Sanity roll:
<rollTable>
Each result affects only the explorer making that roll.","4+  You resist the sound.
1-3  Take 1 die of mental damage.
0  Take 2 dice of mental damage."
49,Closet Door,,That closet door is open… just a crack. There must be something inside.,"Put the Closet token in this room.
Once during an explorer’s turn, that explorer can roll 2 dice to open the Closet:
<rollTable>","4  Draw an item card.
2-3  Draw an event card.
0-1  Draw an event card and remove the Closet token."
50,The Lost One,,A woman wearing a Civil War dress beckons to you. You fall into a trance.,"You must attempt a Knowledge roll. If the result is 5 or more, you break out of your trance and gain 1 Knowledge; otherwise, roll 3 dice to see where the Lost One leads you:
<rollTable>
If this card requires you to draw a room tile for a specific floor, put that tile in the house, and put your explorer there. If you reach the end of the stack without drawing a room for the floor you rolled, put your explorer in the Entrance Hall instead.","6  Put your explorer in the Entrance Hall.
4-5  Put your explorer in the Upper Landing.
2-3  Draw room tiles until you find an upper floor room.
0-1  Draw room tiles until you find a basement room."
51,Image in the Mirror,"If you don’t have any item cards, this event affects the next explorer to your left with an item card. Discard this card if no explorer has an item card.",,"There is an old mirror in this room. Your frightened reflection moves on its own. You realize it is you from another time. You need to help your reflection, so you write on the mirror:
“This will help”
You then hand an item through the mirror.
Choose one of your item cards (not an omen card) and put it on the item stack. Then shuffle that stack. Gain 1 Knowledge.",
52,Creepy Crawlies,,"A thousand bugs spill out of your skin, under clothes, and in your hair.","You must attempt a Sanity roll:
<rollTable>","5+  You blink, and they’re gone. Gain 1 Sanity.
1-4  Lose 1 Sanity.
0  Lose 2 Sanity."
53,Night View,,"You see a vision of a ghostly couple walking the grounds, silently strolling in their wedding best.","You must attempt a Knowledge roll:
<rollTable>","5+  You recognize the ghosts as former inhabitants of the house. You call their names, and they turn to you, whispering dark secrets of the house. Gain 1 Knowledge.
0-4   You pull back in horror, unable to watch."
54,Smoke,,"Smoke billows around you. You cough, wiping away tears.",Put the Smoke token in this room. The Smoke blocks line of sight from adjacent rooms. An explorer rolls 2 fewer dice (minimum of 1 die) on all trait rolls while in this room.,
55,Contract,,Here’s a contract for power in return for your soul.,"You may sign the contract. If you do, attempt a Knowledge roll to read the fine print:
<rollTable>","0-1  You sign your soul away for nothing. Lose 1 Sanity.
2-3  You lose your soul but you gain power. Lose 1 Sanity. Draw an item card.
4  You find a small loophole and keep your soul. Draw an item card.
5+  You find the contract isn’t binding and keep your soul. Gain 1 Sanity. Draw an item card."
